From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q9BXS5	AP-1 complex subunit mu-1"	Q9BXS5	AP1M1_HUMAN	AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin)	AP1M1 CLTNM	Homo sapiens (Human)
"O95782	AP-2 complex subunit alpha-1"	O95782	AP2A1_HUMAN	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	AP2A1 ADTAA CLAPA1	Homo sapiens (Human)
"P04114	Apolipoprotein B-100"	P04114	APOB_HUMAN	Apolipoprotein B-100 (Apo B-100)	APOB	Homo sapiens (Human)
"Q15057	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"	Q15057	ACAP2_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2 (Cnt-b2))	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)
"K7ENF0	Asparagine--tRNA ligase, cytoplasmic"	K7ENF0	K7ENF0_HUMAN	Asparaginyl-tRNA synthetase 1	NARS1	Homo sapiens (Human)
"P00505	Aspartate aminotransferase, mitochondrial"	P00505	AATM_HUMAN	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein (FABP-1)) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein (FABPpm)) (Transaminase A)	GOT2 KYAT4	Homo sapiens (Human)
"P25705	ATP synthase subunit alpha, mitochondrial"	P25705	ATPA_HUMAN	ATP synthase F(1) complex subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)
"P06576	ATP synthase subunit beta, mitochondrial"	P06576	ATPB_HUMAN	ATP synthase F(1) complex subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)
"G3V325	ATP5MF-PTCD1 readthrough"	G3V325	G3V325_HUMAN	Pentatricopeptide repeat-containing protein 1, mitochondrial	ATP5MF-PTCD1	Homo sapiens (Human)
"Q9GZR7	ATP-dependent RNA helicase DDX24"	Q9GZR7	DDX24_HUMAN	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	Homo sapiens (Human)
"O15523	ATP-dependent RNA helicase DDX3Y"	O15523	DDX3Y_HUMAN	ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)	DDX3Y DBY	Homo sapiens (Human)
"A0A087WYN9	ATP-dependent RNA helicase DHX29"	Q7Z478	DHX29_HUMAN	ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx)	DHX29 DDX29	Homo sapiens (Human)
"Q8NDG6	ATP-dependent RNA helicase TDRD9"	Q8NDG6	TDRD9_HUMAN	ATP-dependent RNA helicase TDRD9 (EC 3.6.4.13) (Tudor domain-containing protein 9)	TDRD9 C14orf75	Homo sapiens (Human)
"F8WCU9	AT-rich interactive domain-containing protein 2 (Fragment)"	F8WCU9	F8WCU9_HUMAN	AT-rich interactive domain-containing protein 2 (BRG1-associated factor 200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2	Homo sapiens (Human)
"Q68CP9	AT-rich interactive domain-containing protein 2"	Q68CP9	ARID2_HUMAN	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200 (BAF200)) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2 BAF200 KIAA1557	Homo sapiens (Human)
"O15392	Baculoviral IAP repeat-containing protein 5"	O15392	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	Homo sapiens (Human)
"O75531	Barrier-to-autointegration factor"	O75531	BAF_HUMAN	Barrier-to-autointegration factor (Breakpoint cluster region protein 1)	BANF1 BAF BCRG1	Homo sapiens (Human)
"P55061	Bax inhibitor 1"	P55061	BI1_HUMAN	Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6)	TMBIM6 BI1 TEGT	Homo sapiens (Human)
"O00512	B-cell CLL/lymphoma 9 protein"	O00512	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)	BCL9	Homo sapiens (Human)
"Q562R1	Beta-actin-like protein 2"	Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2 (Kappa-actin)	ACTBL2	Homo sapiens (Human)
"P13929	Beta-enolase"	P13929	ENOB_HUMAN	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase (MSE)) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)
"P13995	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"	P13995	MTDC_HUMAN	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	MTHFD2 NMDMC	Homo sapiens (Human)
"Q96T60	Bifunctional polynucleotide phosphatase/kinase"	Q96T60	PNKP_HUMAN	Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase)	PNKP	Homo sapiens (Human)
"Q53S33	BolA-like protein 3"	Q53S33	BOLA3_HUMAN	BolA-like protein 3	BOLA3	Homo sapiens (Human)
"P27824	Calnexin"	P27824	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)
"P07384	Calpain-1 catalytic subunit"	P07384	CAN1_HUMAN	Calpain-1 catalytic subunit (EC 3.4.22.52) (Calcium-activated neutral proteinase 1 (CANP 1)) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain (muCANP))	CAPN1 CANPL1	Homo sapiens (Human)
"O75808	Calpain-15"	O75808	CAN15_HUMAN	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	CAPN15 SOLH	Homo sapiens (Human)
"Q8N4J0	Carnosine N-methyltransferase"	Q8N4J0	CARME_HUMAN	Protein-L-histidine N-pros-methyltransferase CARNMT1 (EC 2.1.1.-) (Carnosine N-methyltransferase (EC 2.1.1.22)) (Protein-L-histidine N1-methyltransferase CARNMT1)	CARNMT1 C9orf41	Homo sapiens (Human)
"P78368	Casein kinase I isoform gamma-2"	P78368	KC1G2_HUMAN	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	Homo sapiens (Human)
"Q03701	CCAAT/enhancer-binding protein zeta"	Q03701	CEBPZ_HUMAN	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor (CBF) (CCAAT-binding factor))	CEBPZ CBF2	Homo sapiens (Human)
"Q9NPF0	CD320 antigen"	Q9NPF0	CD320_HUMAN	CD320 antigen (8D6 antigen) (FDC-signaling molecule 8D6 (FDC-SM-8D6)) (Transcobalamin receptor (TCblR))	CD320 8D6A	Homo sapiens (Human)
"P16070	CD44 antigen"	P16070	CD44_HUMAN	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III (ECMR-III)) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1 (PGP-1)) (Phagocytic glycoprotein I (PGP-I))	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)
"J3KMY0	Cell division cycle-associated protein 3"	J3KMY0	J3KMY0_HUMAN	Cell division cycle associated 3	CDCA3	Homo sapiens (Human)
"Q9NX58	Cell growth-regulating nucleolar protein"	Q9NX58	LYAR_HUMAN	Cell growth-regulating nucleolar protein	LYAR	Homo sapiens (Human)
"Q7Z7A1	Centriolin"	Q7Z7A1	CNTRL_HUMAN	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa (Cep110))	CNTRL CEP1 CEP110	Homo sapiens (Human)
"Q02224	Centromere-associated protein E"	Q02224	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E (CENP-E)) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	Homo sapiens (Human)
"Q9BV73	Centrosome-associated protein CEP250"	Q9BV73	CP250_HUMAN	Centrosome-associated protein CEP250 (250 kDa centrosomal protein (Cep250)) (Centrosomal Nek2-associated protein 1 (C-Nap1)) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	Homo sapiens (Human)
"Q13112	Chromatin assembly factor 1 subunit B"	Q13112	CAF1B_HUMAN	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit (CAF-I 60 kDa subunit) (CAF-I p60)) (M-phase phosphoprotein 7)	CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7	Homo sapiens (Human)
"Q9ULG1	Chromatin-remodeling ATPase INO80"	Q9ULG1	INO80_HUMAN	Chromatin-remodeling ATPase INO80 (hINO80) (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80) (INO80 complex subunit A)	INO80 INO80A INOC1 KIAA1259	Homo sapiens (Human)
"Q13185	Chromobox protein homolog 3"	Q13185	CBX3_HUMAN	Chromobox protein homolog 3 (HECH) (Heterochromatin protein 1 homolog gamma (HP1 gamma)) (Modifier 2 protein)	CBX3	Homo sapiens (Human)
"Q96JM3	Chromosome alignment-maintaining phosphoprotein 1"	Q96JM3	CHAP1_HUMAN	Chromosome alignment-maintaining phosphoprotein 1 (Zinc finger protein 828)	CHAMP1 C13orf8 CAMP CHAMP KIAA1802 ZNF828	Homo sapiens (Human)
"Q8IV76	Circadian clock protein PASD1"	Q8IV76	PASD1_HUMAN	Circadian clock protein PASD1 (Cancer/testis antigen 63 (CT63)) (OX-TES-1) (PAS domain-containing protein 1)	PASD1	Homo sapiens (Human)
"P33240	Cleavage stimulation factor subunit 2"	P33240	CSTF2_HUMAN	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit (CSTF 64 kDa subunit) (CstF-64))	CSTF2	Homo sapiens (Human)
"P23528	Cofilin-1"	P23528	COF1_HUMAN	Cofilin-1 (18 kDa phosphoprotein (p18)) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)
"J3KSU3	Coiled-coil domain-containing protein 178 (Fragment)"	J3KSU3	J3KSU3_HUMAN	Coiled-coil domain containing 178	CCDC178	Homo sapiens (Human)
"Q8IV32	Coiled-coil domain-containing protein 71"	Q8IV32	CCD71_HUMAN	Coiled-coil domain-containing protein 71	CCDC71	Homo sapiens (Human)
"Q6UUV7	CREB-regulated transcription coactivator 3"	Q6UUV7	CRTC3_HUMAN	CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3 (TORC-3) (Transducer of CREB protein 3))	CRTC3 TORC3	Homo sapiens (Human)
"Q93034	Cullin-5"	Q93034	CUL5_HUMAN	Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1 (VACM-1))	CUL5 VACM1	Homo sapiens (Human)
"Q2TBE0	CWF19-like protein 2"	Q2TBE0	C19L2_HUMAN	CWF19-like protein 2	CWF19L2	Homo sapiens (Human)
"Q9Y6N1	Cytochrome c oxidase assembly protein COX11, mitochondrial"	Q9Y6N1	COX11_HUMAN	Cytochrome c oxidase assembly protein COX11, mitochondrial	COX11	Homo sapiens (Human)
"Q14061	Cytochrome c oxidase copper chaperone"	Q14061	COX17_HUMAN	Cytochrome c oxidase copper chaperone	COX17	Homo sapiens (Human)
"P13073	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"	P13073	COX41_HUMAN	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1 (COX IV-1))	COX4I1 COX4	Homo sapiens (Human)
"P12074	Cytochrome c oxidase subunit 6A1, mitochondrial"	P12074	CX6A1_HUMAN	Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver (COX VIa-L))	COX6A1 COX6AL	Homo sapiens (Human)
"E7EVJ5	Cytoplasmic FMR1-interacting protein"	E7EVJ5	E7EVJ5_HUMAN	Cytoplasmic FMR1-interacting protein	CYFIP2	Homo sapiens (Human)
"Q14008	Cytoskeleton-associated protein 5"	Q14008	CKAP5_HUMAN	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein (Ch-TOG))	CKAP5 KIAA0097	Homo sapiens (Human)
"O43175	D-3-phosphoglycerate dehydrogenase"	O43175	SERA_HUMAN	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase (EC 1.1.1.399)) (Malate dehydrogenase (EC 1.1.1.37))	PHGDH PGDH3	Homo sapiens (Human)
"Q9Y4B6	DDB1- and CUL4-associated factor 1"	Q9Y4B6	DCAF1_HUMAN	DDB1- and CUL4-associated factor 1 (HIV-1 Vpr-binding protein (VprBP)) (Serine/threonine-protein kinase VPRBP (EC 2.7.11.1)) (Vpr-interacting protein)	DCAF1 KIAA0800 RIP VPRBP	Homo sapiens (Human)
"P30046	D-dopachrome decarboxylase"	P30046	DOPD_HUMAN	D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase) (Phenylpyruvate tautomerase II)	DDT	Homo sapiens (Human)
"Q9UER7	Death domain-associated protein 6"	Q9UER7	DAXX_HUMAN	Death domain-associated protein 6 (Daxx (hDaxx)) (ETS1-associated protein 1 (EAP1)) (Fas death domain-associated protein)	DAXX BING2 DAP6	Homo sapiens (Human)
"Q96HP0	Dedicator of cytokinesis protein 6"	Q96HP0	DOCK6_HUMAN	Dedicator of cytokinesis protein 6	DOCK6 KIAA1395	Homo sapiens (Human)
"Q96N67	Dedicator of cytokinesis protein 7"	Q96N67	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)
"G3V1S3	DENN domain-containing protein 5B"	G3V1S3	G3V1S3_HUMAN	DENN domain containing 5B	DENND5B	Homo sapiens (Human)
"Q9NZJ0	Denticleless protein homolog"	Q9NZJ0	DTL_HUMAN	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	Homo sapiens (Human)
"P60981	Destrin"	P60981	DEST_HUMAN	Destrin (Actin-depolymerizing factor (ADF))	DSTN ACTDP DSN	Homo sapiens (Human)
"Q9BW61	DET1- and DDB1-associated protein 1"	Q9BW61	DDA1_HUMAN	DET1- and DDB1-associated protein 1 (Placenta cross-immune reaction antigen 1 (PCIA-1))	DDA1 C19orf58 PCIA1	Homo sapiens (Human)
"Q16555	Dihydropyrimidinase-related protein 2"	Q16555	DPYL2_HUMAN	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2 (CRMP-2)) (N2A3) (Unc-33-like phosphoprotein 2 (ULIP-2))	DPYSL2 CRMP2 ULIP2	Homo sapiens (Human)
"Q9Y4D1	Disheveled-associated activator of morphogenesis 1"	Q9Y4D1	DAAM1_HUMAN	Disheveled-associated activator of morphogenesis 1	DAAM1 KIAA0666	Homo sapiens (Human)
"A0A0A0MSL1	Disks large homolog 5 (Fragment)"	A0A0A0MSL1	A0A0A0MSL1_HUMAN	Disks large homolog 5	DLG5	Homo sapiens (Human)
"Q92547	DNA topoisomerase 2-binding protein 1"	Q92547	TOPB1_HUMAN	DNA topoisomerase 2-binding protein 1 (DNA topoisomerase II-beta-binding protein 1 (TopBP1)) (DNA topoisomerase II-binding protein 1)	TOPBP1 KIAA0259	Homo sapiens (Human)
"F8W689	DNA-binding protein RFX5 (Fragment)"	F8W689	F8W689_HUMAN	Regulatory factor X5	RFX5	Homo sapiens (Human)
"O95602	DNA-directed RNA polymerase I subunit RPA1"	O95602	RPA1_HUMAN	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit (RPA194))	POLR1A	Homo sapiens (Human)
"C9J2Y9	DNA-directed RNA polymerase subunit beta"	C9J2Y9	C9J2Y9_HUMAN	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	POLR2B	Homo sapiens (Human)
"O75937	DnaJ homolog subfamily C member 8"	O75937	DNJC8_HUMAN	DnaJ homolog subfamily C member 8 (Splicing protein spf31)	DNAJC8 SPF31	Homo sapiens (Human)
"O60216	Double-strand-break repair protein rad21 homolog"	O60216	RAD21_HUMAN	Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1 (NXP-1)) (SCC1 homolog)	RAD21 HR21 KIAA0078 NXP1 SCC1	Homo sapiens (Human)
"E5RHK8	Dynamin-3"	E5RHK8	E5RHK8_HUMAN	dynamin GTPase (EC 3.6.5.5)	DNM3	Homo sapiens (Human)
"Q86Y56	Dynein assembly factor 5, axonemal"	Q86Y56	DAAF5_HUMAN	Dynein axonemal assembly factor 5 (HEAT repeat-containing protein 2)	DNAAF5 HEATR2	Homo sapiens (Human)
"Q96L91	E1A-binding protein p400"	Q96L91	EP400_HUMAN	E1A-binding protein p400 (EC 3.6.4.-) (CAG repeat protein 32) (Domino homolog (hDomino)) (Trinucleotide repeat-containing gene 12 protein) (p400 kDa SWI2/SNF2-related protein)	EP400 CAGH32 KIAA1498 KIAA1818 TNRC12	Homo sapiens (Human)
"P49792	E3 SUMO-protein ligase RanBP2"	P49792	RBP2_HUMAN	E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2 (RanBP2)) (p270)	RANBP2 NUP358	Homo sapiens (Human)
"O75150	E3 ubiquitin-protein ligase BRE1B"	O75150	BRE1B_HUMAN	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein (RBP95)) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	Homo sapiens (Human)
"Q8TDB6	E3 ubiquitin-protein ligase DTX3L"	Q8TDB6	DTX3L_HUMAN	E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2 (Rhysin2))	DTX3L BBAP	Homo sapiens (Human)
"Q06587	E3 ubiquitin-protein ligase RING1"	Q06587	RING1_HUMAN	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (Polycomb complex protein RING1) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1) (Really interesting new gene 1 protein)	RING1 RING1A RNF1	Homo sapiens (Human)
"Q5TDE7	E3 ubiquitin-protein ligase RNF220 (Fragment)"	Q5TDE7	Q5TDE7_HUMAN	Ring finger protein 220	RNF220	Homo sapiens (Human)
"Q5T4S7	E3 ubiquitin-protein ligase UBR4"	Q5T4S7	UBR4_HUMAN	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor (p600)) (N-recognin-4) (Retinoblastoma-associated factor of 600 kDa (RBAF600))	UBR4 KIAA0462 KIAA1307 RBAF600	Homo sapiens (Human)
"Q15075	Early endosome antigen 1"	Q15075	EEA1_HUMAN	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)	EEA1 ZFYVE2	Homo sapiens (Human)
"Q53HC9	EARP and GARP complex-interacting protein 1"	Q53HC9	EIPR1_HUMAN	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	EIPR1 TSSC1	Homo sapiens (Human)
"Q9H223	EH domain-containing protein 4"	Q9H223	EHD4_HUMAN	EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4)	EHD4 HCA10 HCA11 PAST4	Homo sapiens (Human)
"P68104	Elongation factor 1-alpha 1"	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu (EF-Tu)) (Eukaryotic elongation factor 1 A-1 (eEF1A-1)) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)
"P26641	Elongation factor 1-gamma"	P26641	EF1G_HUMAN	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G	Homo sapiens (Human)
"P13639	Elongation factor 2"	P13639	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)
"Q7Z2Z2	Elongation factor-like GTPase 1"	Q7Z2Z2	EFL1_HUMAN	Elongation factor-like GTPase 1 (EC 3.6.5.-) (Elongation factor Tu GTP-binding domain-containing protein 1) (Elongation factor-like 1) (Protein FAM42A)	EFL1 EFTUD1 FAM42A	Homo sapiens (Human)
"Q9NYP7	Elongation of very long chain fatty acids protein 5"	Q9NYP7	ELOV5_HUMAN	Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5 (ELOVL FA elongase 5)) (Elongation of very long chain fatty acids protein 5) (Fatty acid elongase 1 (hELO1)) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	ELOVL5 ELOVL2	Homo sapiens (Human)
"Q9YNA8	Endogenous retrovirus group K member 19 Gag polyprotein"	Q9YNA8	GAK19_HUMAN	Endogenous retrovirus group K member 19 Gag polyprotein (HERV-K(C19) Gag protein) (HERV-K_19q11 provirus ancestral Gag polyprotein (Gag polyprotein))	ERVK-19	Homo sapiens (Human)
"P14625	Endoplasmin"	P14625	ENPL_HUMAN	Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein (GRP-94)) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 HSPC4 TRA1	Homo sapiens (Human)
"Q8N5V2	Ephexin-1"	Q8N5V2	NGEF_HUMAN	Ephexin-1 (Eph-interacting exchange protein) (Neuronal guanine nucleotide exchange factor)	NGEF	Homo sapiens (Human)
"A0A0G2JNZ7	Epithelial discoidin domain-containing receptor 1"	A0A0G2JNZ7	A0A0G2JNZ7_HUMAN	Epithelial discoidin domain-containing receptor 1 (EC 2.7.10.1) (CD167 antigen-like family member A) (Discoidin receptor tyrosine kinase) (Tyrosine kinase DDR)	DDR1	Homo sapiens (Human)
"Q7L775	EPM2A-interacting protein 1"	Q7L775	EPMIP_HUMAN	EPM2A-interacting protein 1 (Laforin-interacting protein)	EPM2AIP1 KIAA0766	Homo sapiens (Human)
"P60842	Eukaryotic initiation factor 4A-I"	P60842	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)
"O00303	Eukaryotic translation initiation factor 3 subunit F"	O00303	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f (EC 3.4.19.12)) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)
"P15311	Ezrin"	P15311	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)
"Q96AE4	Far upstream element-binding protein 1"	Q96AE4	FUBP1_HUMAN	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V (hDH V))	FUBP1	Homo sapiens (Human)
"Q92945	Far upstream element-binding protein 2"	Q92945	FUBP2_HUMAN	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein (KSRP)) (p75)	KHSRP FUBP2	Homo sapiens (Human)
"P49327	Fatty acid synthase"	P49327	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase)	FASN FAS	Homo sapiens (Human)
"Q01469	Fatty acid-binding protein 5"	Q01469	FABP5_HUMAN	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein (E-FABP)) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog (PA-FABP))	FABP5	Homo sapiens (Human)
"O14526	F-BAR domain only protein 1"	O14526	FCHO1_HUMAN	F-BAR domain only protein 1	FCHO1 KIAA0290	Homo sapiens (Human)
"Q6PIJ6	F-box only protein 38"	Q6PIJ6	FBX38_HUMAN	F-box only protein 38	FBXO38	Homo sapiens (Human)
"Q9NXK8	F-box/LRR-repeat protein 12"	Q9NXK8	FXL12_HUMAN	F-box/LRR-repeat protein 12 (F-box and leucine-rich repeat protein 12) (F-box protein FBL12)	FBXL12 FBL12	Homo sapiens (Human)
"Q6PCT2	F-box/LRR-repeat protein 19"	Q6PCT2	FXL19_HUMAN	F-box/LRR-repeat protein 19 (F-box and leucine-rich repeat protein 19)	FBXL19 FBL19	Homo sapiens (Human)
"O60907	F-box-like/WD repeat-containing protein TBL1X"	O60907	TBL1X_HUMAN	F-box-like/WD repeat-containing protein TBL1X (SMAP55) (Transducin beta-like protein 1X) (Transducin-beta-like protein 1, X-linked)	TBL1X TBL1	Homo sapiens (Human)
"O75369	Filamin-B"	O75369	FLNB_HUMAN	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1 (Fh1)) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein (Truncated ABP))	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)
"Q96CP2	FLYWCH family member 2"	Q96CP2	FWCH2_HUMAN	FLYWCH family member 2	FLYWCH2	Homo sapiens (Human)
"Q5VW36	Focadhesin"	Q5VW36	FOCAD_HUMAN	Focadhesin	FOCAD KIAA1797	Homo sapiens (Human)
"P51114	Fragile X mental retardation syndrome-related protein 1"	P51114	FXR1_HUMAN	RNA-binding protein FXR1 (FMR1 autosomal homolog 1) (hFXR1p)	FXR1	Homo sapiens (Human)
"P04075	Fructose-bisphosphate aldolase A"	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)
