From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"CAPZB_HUMAN	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a"	P47756	CAPZB_HUMAN	F-actin-capping protein subunit beta (CapZ beta)	CAPZB	Homo sapiens (Human)	auto	
"CTNA1_HUMAN	Catenin alpha-1"	P35221	CTNA1_HUMAN	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1	Homo sapiens (Human)	auto	
"CAVN1_HUMAN	Polymerase I and transcript release factor"	Q6NZI2	CAVN1_HUMAN	Caveolae-associated protein 1 (Cavin-1) (Polymerase I and transcript release factor)	CAVIN1 PTRF	Homo sapiens (Human)	auto	
"CD99_HUMAN	CD99 antigen"	P14209	CD99_HUMAN	CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2)	CD99 MIC2 MIC2X MIC2Y	Homo sapiens (Human)	auto	
"CLIC1_HUMAN	Chloride intracellular channel protein 1"	O00299	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1 (EC 1.8.-.-)) (Glutathione-dependent dehydroascorbate reductase CLIC1 (EC 1.8.5.1)) (Nuclear chloride ion channel 27 (NCC27)) (Regulatory nuclear chloride ion channel protein (hRNCC))	CLIC1 G6 NCC27	Homo sapiens (Human)	auto	
"COTL1_HUMAN	Coactosin-like protein"	Q14019	COTL1_HUMAN	Coactosin-like protein	COTL1 CLP	Homo sapiens (Human)	auto	
"COF1_HUMAN	Cofilin-1"	P23528	COF1_HUMAN	Cofilin-1 (18 kDa phosphoprotein (p18)) (Cofilin, non-muscle isoform)	CFL1 CFL	Homo sapiens (Human)	auto	
"CO1A2_HUMAN	Collagen alpha-2(I) chain"	P08123	CO1A2_HUMAN	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	COL1A2	Homo sapiens (Human)	auto	
"CO6A2_HUMAN	Collagen alpha-2(VI) chain"	P12110	CO6A2_HUMAN	Collagen alpha-2(VI) chain	COL6A2	Homo sapiens (Human)	auto	
"CO6A3_HUMAN	Collagen alpha-3(VI) chain"	P12111	CO6A3_HUMAN	Collagen alpha-3(VI) chain	COL6A3	Homo sapiens (Human)	auto	
"C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial"	Q07021	C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP (C1qBP)) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33 (SF2AP32))	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	auto	
"DTD1_HUMAN	D-tyrosyl-tRNA(Tyr) deacylase (Fragment)"	Q8TEA8	DTD1_HUMAN	D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B (DUE-B)) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related)	DTD1 C20orf88 DUEB HARS2	Homo sapiens (Human)	auto	
"ODO2_HUMAN	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate"	P36957	ODO2_HUMAN	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2 (OGDC-E2)) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	DLST DLTS	Homo sapiens (Human)	auto	
"DDB1_HUMAN	DNA damage-binding protein 1"	Q16531	DDB1_HUMAN	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a (DDBa)) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1 (XAP-1)) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1 (UV-DDB 1)) (XPE-binding factor (XPE-BF)) (Xeroderma pigmentosum group E-complementing protein (XPCe))	DDB1 XAP1	Homo sapiens (Human)	auto	
"RPN1_HUMAN	Dolichyl- diphosphooligosaccharide-- protein glycosyltransferase"	P04843	RPN1_HUMAN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I (RPN-I)) (Ribophorin-1)	RPN1	Homo sapiens (Human)	auto	
"DCTN2_HUMAN	Dynactin subunit 2"	Q13561	DCTN2_HUMAN	Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit (DCTN-50)) (p50 dynamitin)	DCTN2 DCTN50	Homo sapiens (Human)	auto	
"EF1A1_HUMAN	Elongation factor 1-alpha 1"	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu (EF-Tu)) (Eukaryotic elongation factor 1 A-1 (eEF1A-1)) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	auto	
"ERP29_HUMAN	Endoplasmic reticulum resident protein 29"	P30040	ERP29_HUMAN	Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 28 (ERp28)) (Endoplasmic reticulum resident protein 31 (ERp31))	ERP29 C12orf8 ERP28	Homo sapiens (Human)	auto	
